"Título do Desenho: Anhumas"
"#","Data","Hora, GMT-03:00","PAR, µmol/m²/s (LGR S/N: 20205294, SEN S/N: 20111070, LBL: PAR)","Teor de Água, m³/m³ (LGR S/N: 20205294, SEN S/N: 20198349, LBL: UMIDADE SOLO)","Temp., °C (LGR S/N: 20205294, SEN S/N: 20269136, LBL: TEMPERATURA)","Chuva, mm (LGR S/N: 20205294, SEN S/N: 20327411, LBL: CHUVA)","Temp., °C (LGR S/N: 20205294, SEN S/N: 20334392, LBL: AIR TEMPERATURA)","HR, % (LGR S/N: 20205294, SEN S/N: 20334392, LBL: UMIDADE RELATIVA)","PtCondensação, °C (LGR S/N: 20205294, SEN S/N: 20334392)"
1,05/02/19,12H4min13s,8.7,-0.1101,28.122,,28.667,52.800,18.1
2,05/02/19,13H4min13s,1183.7,0.0569,31.689,1.20,28.072,54.500,18.1
3,05/02/19,14H4min13s,811.2,0.0562,35.102,0.00,27.702,54.700,17.8
4,05/02/19,15H4min13s,621.2,0.0562,34.783,0.00,26.842,56.900,17.6
5,05/02/19,16H4min13s,931.2,0.0569,34.440,0.00,27.186,56.700,17.9
6,05/02/19,17H4min13s,783.7,0.0562,34.360,0.00,27.235,61.400,19.2
7,05/02/19,18H4min13s,671.2,0.0569,34.150,0.00,26.818,58.600,18.0
8,05/02/19,19H4min13s,133.7,0.0562,33.835,0.00,24.702,66.100,18.0
9,05/02/19,20H4min13s,1.2,0.0562,33.027,0.00,23.569,72.000,18.2
10,05/02/19,21H4min13s,1.2,0.0562,31.996,0.00,22.705,76.200,18.3
11,05/02/19,22H4min13s,1.2,0.0562,31.077,0.00,22.345,77.900,18.3
12,05/02/19,23H4min13s,1.2,0.0562,30.343,0.00,22.154,76.400,17.8
13,06/02/19,00H4min13s,1.2,0.0562,29.740,0.00,22.082,77.200,17.9
14,06/02/19,01H4min13s,1.2,0.0562,29.265,0.00,21.223,76.400,16.9
15,06/02/19,02H4min13s,1.2,0.0569,28.841,0.00,20.865,78.700,17.0
16,06/02/19,03H4min13s,1.2,0.0569,28.468,0.00,20.246,80.300,16.8
17,06/02/19,04H4min13s,1.2,0.0569,28.122,0.00,19.817,83.000,16.9
18,06/02/19,05H4min13s,1.2,0.0569,27.776,0.00,19.555,85.500,17.1
19,06/02/19,06H4min13s,1.2,0.0569,27.456,0.00,19.413,86.800,17.2
20,06/02/19,07H4min13s,26.2,0.0569,27.235,0.00,19.793,87.100,17.6
21,06/02/19,08H4min13s,141.2,0.0577,27.136,0.00,20.650,86.800,18.4
22,06/02/19,09H4min13s,188.7,0.0548,27.161,0.20,20.055,89.400,18.3
23,06/02/19,10H4min13s,231.2,0.0519,27.161,0.40,20.174,89.900,18.5
24,06/02/19,11H4min13s,221.2,0.0555,27.063,6.00,19.460,91.800,18.1
25,06/02/19,12H4min13s,476.2,0.0540,26.867,0.00,20.126,91.300,18.7
26,06/02/19,13H4min13s,551.2,0.0562,26.793,0.20,20.650,90.500,19.1
27,06/02/19,14H4min13s,656.2,0.0555,26.940,0.00,21.413,87.200,19.2
28,06/02/19,15H4min13s,426.2,0.0555,27.161,0.00,21.724,87.500,19.6
29,06/02/19,16H4min13s,541.2,0.0555,27.136,0.00,21.366,84.200,18.6
30,06/02/19,17H4min13s,278.7,0.0555,26.989,0.00,20.650,85.800,18.2
31,06/02/19,18H4min13s,68.7,0.0555,26.549,0.40,19.888,87.300,17.7
32,06/02/19,19H4min13s,28.7,0.0591,25.987,1.40,19.413,91.000,17.9
