"Título do Desenho: usp"
"#","Data","Hora, GMT-03:00","PAR, µmol/m²/s (LGR S/N: 20205293, SEN S/N: 20089792, LBL: Sensor Radiação PAR)","Temp., °C (LGR S/N: 20205293, SEN S/N: 20269135, LBL: Sensor Temperatura)","Teor de Água, m³/m³ (LGR S/N: 20205293, SEN S/N: 20316216)","Chuva, mm (LGR S/N: 20205293, SEN S/N: 20327409)","Temp., °C (LGR S/N: 20205293, SEN S/N: 20334393)","HR, % (LGR S/N: 20205293, SEN S/N: 20334393)","PtCondensação, °C (LGR S/N: 20205293, SEN S/N: 20334393)"
1,22/02/19,13H51min9s,1203.7,34.124,0.3068,,29.140,68.300,22.7
2,22/02/19,14H51min9s,1301.2,35.850,0.3053,0.00,30.545,63.400,22.8
3,22/02/19,15H51min9s,878.7,35.555,0.3032,0.00,31.868,60.800,23.4
4,22/02/19,16H51min9s,471.2,33.809,0.3017,0.00,27.825,65.600,20.8
5,22/02/19,17H51min9s,113.7,30.646,0.3010,0.00,24.412,77.900,20.3
6,22/02/19,18H51min9s,66.2,28.419,0.3003,2.40,22.321,84.900,19.7
7,22/02/19,19H51min9s,1.2,26.622,0.3010,0.20,21.748,93.400,20.7
8,22/02/19,20H51min9s,1.2,25.647,0.3024,0.00,21.533,95.400,20.8
9,22/02/19,21H51min9s,1.2,25.016,0.3032,0.00,21.437,96.000,20.8
10,22/02/19,22H51min9s,1.2,24.484,0.3032,0.00,21.103,96.200,20.5
11,22/02/19,23H51min9s,1.2,24.050,0.3032,0.00,21.151,96.600,20.6
12,23/02/19,00H51min9s,1.2,23.809,0.3032,0.00,20.865,97.200,20.4
13,23/02/19,01H51min9s,1.2,23.448,0.3032,0.00,20.698,97.600,20.3
14,23/02/19,02H51min9s,1.2,23.160,0.3032,0.00,20.436,97.300,20.0
15,23/02/19,03H51min9s,1.2,22.824,0.3032,0.00,19.984,98.200,19.7
16,23/02/19,04H51min9s,1.2,22.513,0.3024,0.00,20.126,98.800,20.0
17,23/02/19,05H51min9s,1.2,22.226,0.3024,0.00,19.841,98.600,19.6
18,23/02/19,06H51min9s,21.2,22.058,0.3032,0.00,19.841,99.200,19.7
19,23/02/19,07H51min9s,276.2,22.417,0.3024,0.00,23.232,96.400,22.7
20,23/02/19,08H51min9s,618.7,24.195,0.3032,0.00,25.720,87.700,23.6
21,23/02/19,09H51min9s,918.7,26.891,0.3032,0.00,28.196,79.400,24.3
22,23/02/19,10H51min9s,1213.7,30.318,0.3017,0.00,29.190,67.600,22.6
23,23/02/19,11H51min9s,1053.7,31.128,0.3010,0.00,31.179,64.400,23.7
24,23/02/19,12H51min9s,1178.7,33.966,0.2995,0.00,32.201,59.200,23.3
25,23/02/19,13H51min9s,1643.7,37.096,0.2974,0.00,32.073,57.200,22.6
26,23/02/19,14H51min9s,453.7,35.502,0.2959,1.80,23.593,67.100,17.2
27,23/02/19,15H51min9s,446.2,31.408,0.2952,0.00,26.695,82.400,23.5
28,23/02/19,16H51min9s,141.2,30.621,0.2952,0.00,25.939,85.900,23.4
29,23/02/19,17H51min9s,363.7,30.469,0.2952,0.00,27.628,77.500,23.4
30,23/02/19,18H51min9s,33.7,29.315,0.2952,0.00,27.284,82.800,24.1
31,23/02/19,19H51min9s,1.2,27.702,0.2952,0.00,25.841,74.700,21.0
32,23/02/19,20H51min9s,1.2,26.280,0.2944,0.00,24.219,70.500,18.5
33,23/02/19,21H51min9s,1.2,25.647,0.2944,0.00,22.513,83.500,19.6
34,23/02/19,22H51min9s,1.2,25.089,0.2937,0.00,22.321,87.000,20.1
35,23/02/19,23H51min9s,1.2,24.677,0.2937,0.00,21.987,89.800,20.3
36,24/02/19,00H51min9s,1.2,24.339,0.2937,0.00,21.413,93.400,20.3
37,24/02/19,01H51min9s,1.2,23.978,0.2930,0.00,20.817,93.700,19.8
38,24/02/19,02H51min9s,1.2,23.545,0.2930,0.00,20.484,95.400,19.7
39,24/02/19,03H51min9s,1.2,23.208,0.2923,0.00,20.222,96.800,19.7
40,24/02/19,04H51min9s,1.2,22.920,0.2923,0.00,20.198,97.500,19.8
41,24/02/19,05H51min9s,1.2,22.681,0.2923,0.00,20.412,97.800,20.1
42,24/02/19,06H51min9s,21.2,22.537,0.2923,0.00,20.412,97.100,20.0
43,24/02/19,07H51min9s,296.2,22.824,0.2923,0.00,23.376,94.900,22.5
44,24/02/19,08H51min9s,673.7,24.677,0.2923,0.00,26.622,83.700,23.7
45,24/02/19,09H51min9s,963.7,27.407,0.2915,0.00,29.315,75.700,24.6
46,24/02/19,10H51min9s,1031.2,29.565,0.2908,0.00,30.268,67.900,23.7
47,24/02/19,11H51min9s,1248.7,30.167,0.2894,0.00,32.098,60.800,23.6
48,24/02/19,12H51min9s,1718.7,33.417,0.2872,0.00,33.131,56.100,23.2
49,24/02/19,13H51min9s,1101.2,35.075,0.2857,0.00,33.861,54.400,23.4
50,24/02/19,14H51min9s,1566.2,37.949,0.2821,0.00,34.757,50.500,23.0
51,24/02/19,15H51min9s,538.7,36.039,0.2799,1.00,21.032,60.000,13.0
52,24/02/19,16H51min9s,56.2,29.340,0.2792,0.80,22.585,85.700,20.1
53,24/02/19,17H51min9s,13.7,27.801,0.2785,0.20,21.843,90.100,20.2
54,24/02/19,18H51min9s,6.2,26.793,0.2785,0.60,22.082,93.000,20.9
55,24/02/19,19H51min9s,1.2,26.036,0.2785,0.00,22.465,94.300,21.5
56,24/02/19,20H51min9s,1.2,25.380,0.2777,0.40,22.250,92.600,21.0
57,24/02/19,21H51min9s,1.2,25.016,0.2777,0.00,21.843,93.300,20.7
58,24/02/19,22H51min9s,1.2,24.798,0.2785,0.20,21.748,95.800,21.1
59,24/02/19,23H51min9s,1.2,24.508,0.2777,0.00,21.676,96.000,21.0
60,25/02/19,00H51min9s,1.2,24.219,0.2785,0.00,21.604,94.500,20.7
61,25/02/19,01H51min9s,1.2,24.002,0.2785,0.00,21.652,94.600,20.8
62,25/02/19,02H51min9s,1.2,23.857,0.2792,0.00,21.700,95.600,21.0
63,25/02/19,03H51min9s,1.2,23.689,0.2792,0.00,21.628,95.600,20.9
64,25/02/19,04H51min9s,1.2,23.545,0.2792,0.00,20.984,96.700,20.5
65,25/02/19,05H51min9s,1.2,23.256,0.2799,0.00,20.984,98.200,20.7
66,25/02/19,06H51min9s,18.7,23.064,0.2799,0.00,21.223,97.600,20.9
67,25/02/19,07H51min9s,168.7,23.400,0.2799,0.00,23.184,96.300,22.6
68,25/02/19,08H51min9s,638.7,24.992,0.2806,0.00,25.939,87.300,23.7
69,25/02/19,09H51min9s,676.2,27.161,0.2806,0.00,26.720,80.400,23.1
70,25/02/19,10H51min9s,643.7,28.617,0.2799,0.00,27.554,75.000,22.8
71,25/02/19,11H51min9s,831.2,29.715,0.2792,0.00,27.949,73.800,22.9
72,25/02/19,12H51min9s,1208.7,31.586,0.2785,0.00,29.315,70.900,23.5
73,25/02/19,13H51min9s,1338.7,34.334,0.2770,0.00,30.773,66.200,23.8
74,25/02/19,14H51min9s,1251.2,36.796,0.2748,0.00,31.868,62.900,23.9
75,25/02/19,15H51min9s,1176.2,38.532,0.2734,0.00,32.562,59.100,23.6
76,25/02/19,16H51min9s,596.2,34.810,0.2719,0.00,31.791,57.500,22.4
